Pokéapi,Pokémon Information,http://pokeapi.co
Qriusity,Quiz/Trivia Questions,https://qriusity.com/
xkcd,Retrieve xkcd comics as JSON,https://xkcd.com/json.html
adresse.data.gouv.fr,Address database of France,https://adresse.data.gouv.fr
CitySDK,Open APIs for select European cities,http://www.citysdk.eu/citysdk-toolkit/
FreeGeoIP,Geolocation of IP addresses,https://freegeoip.net/
GeoApi,French geographical data,https://api.gouv.fr/api/geoapi.html
Geocode.xyz,Provides worldwide forward/reverse geocoding  batch geocoding and geoparsing,https://geocode.xyz/
GeoNames,Place names and other geographical data,http://www.geonames.org/export/web-services.html
GraphLoc,Free GraphQL IP Geolocation API,https://www.graphloc.com
IP 2 Country,Map an IP to a country,https://ip2country.info
IP Address Details,Find geolocation with ip address,https://ipinfo.io/
IP Location,Find IP address location information,https://ipapi.co/
IP Vigilante,Free IP Geolocation API,https://www.ipvigilante.com/
Mexico,Mexico RESTful zip codes API,https://github.com/IcaliaLabs/sepomex
OnWater,Determine if a lat/lon is on water or land,https://onwater.io/
OpenCage,Forward and reverse geocoding using open data,https://geocoder.opencagedata.com
PostcodeData.nl,Provide geolocation data based on postcode for Dutch addresses,http://api.postcodedata.nl/v1/postcode/?postcode=1211EP&streetnumber=60&ref=domeinnaam.nl&type=json
Postcodes.io,Postcode lookup & Geolocation for the UK,https://postcodes.io
REST Countries,Get information about countries via a RESTful API,https://restcountries.eu
ViaCep,Brazil RESTful zip codes API,https://viacep.com.br
Zippopotam,Get information about place such as country city state,http://www.zippopotam.us
BCLaws,Access to the laws of British Columbia,http://www.bclaws.ca/civix/template/complete/api/index.html
Census.gov,The US Census Bureau provides various APIs and data sets on demographics and businesses,https://www.census.gov/data/developers/data-sets.html
EPA,Web services and data sets from the US Environmental Protection Agency,https://developer.epa.gov/category/api/
Food Standards Agency,UK food hygiene rating data API,http://ratings.food.gov.uk/open-data/en-GB
Diabetes,Logging and retrieving diabetes information,http://predictbgl.com/api/
Flutrack,Influenza-like symptoms with geotracking,http://www.flutrack.org/
Healthcare.gov,Educational content about the US Health Insurance Marketplace,https://www.healthcare.gov/developers/
Makeup,Makeup Information,http://makeup-api.herokuapp.com/
Medicare,Access to the data from the CMS - medicare.gov,https://data.medicare.gov/developers
NPPES,National Plan & Provider Enumeration System,https://npiregistry.cms.hhs.gov/registry/help-api
openFDA,Public FDA data about drugs devices and foods,https://open.fda.gov/api/
USDA Nutrients,National Nutrient Database for Standard Reference,https://ndb.nal.usda.gov/ndb/doc/index
Github Jobs,Jobs for software developers,https://jobs.github.com/api
Open Skills,Job titles  skills and related,https://github.com/workforce-data-initiative/skills-api/wiki/API-Overview
Search.gov Jobs,Tap into a list of current jobs openings with the United States government,https://search.gov/developer/jobs.html
Newton,Symbolic and Arithmetic Math Calculator,https://newton.now.sh/
Numbers API,Facts about numbers,http://numbersapi.com
Bandsintown,Music Events,https://app.swaggerhub.com/apis/Bandsintown/PublicAPI/3.0.0
iTunes Search,Software products,https://affiliate.itunes.apple.com/resources/documentation/itunes-store-web-service-search-api/
Lyrics.ovh,Simple API to retrieve the lyrics of a song,http://docs.lyricsovh.apiary.io/
MusicBrainz,Music,https://musicbrainz.org/doc/Development/XML_Web_Service/Version_2
Songsterr,Provides guitar  bass and drums tabs and chords,https://www.songsterr.com/a/wa/api/
Soundcloud,Music,https://developers.soundcloud.com/
Chronicling America,Provides access to millions of pages of historic US newspapers from the Library of Congress,http://chroniclingamerica.loc.gov/about/api/
18F,US Federal Government /Developer Program,http://18f.github.io/API-All-the-X/
Callook.info,United States ham radio callsigns,https://callook.info
Colorado Data Engine,Formatted and geolocated Colorado public data,http://codataengine.org/
Colorado Information Marketplace,Colorado State Government Open Data,https://data.colorado.gov/
Data USA,US Public Data,https://datausa.io/about/api/
Dronestream,Tracks United States drone strikes,https://dronestre.am/
Federal Register,The Daily Journal of the United States Government,https://www.federalregister.gov/reader-aids/developer-resources
fonoApi,Mobile Device Description,https://fonoapi.freshpixl.com/
French Address Search,French Government,https://adresse.data.gouv.fr/api
Microlink.io,Turns any link into information,https://docs.microlink.io
Open Government,Australian Government Open Data,https://www.data.gov.au/
Open Government,Canadian Government Open Data,http://open.canada.ca/en
